listing_id,date
35664,2012-06-19
35664,2012-07-12
35664,2012-07-24
35664,2012-08-02
35664,2012-08-07
35664,2012-08-16
35664,2012-08-19
35664,2012-08-26
35664,2012-09-10
35664,2012-09-24
35664,2012-10-15
35664,2012-10-21
35664,2012-10-26
35664,2013-02-22
35664,2013-04-08
35664,2013-05-07
35664,2013-08-16
35664,2013-09-29
35664,2013-10-21
35664,2013-11-07
35664,2014-05-05
35664,2014-05-15
35664,2014-05-28
35664,2014-06-03
35664,2014-06-09
35664,2014-06-18
35664,2014-08-27
35664,2016-06-08
35664,2016-07-19
35664,2016-08-19
35664,2016-08-31
42808,2010-08-26
42808,2010-08-30
42808,2010-09-04
42808,2010-09-20
42808,2010-10-22
42808,2011-02-15
42808,2011-04-14
42808,2011-05-09
42808,2011-05-31
42808,2011-08-10
42808,2011-08-20
42808,2011-08-26
42808,2011-08-29
42808,2011-09-05
42808,2012-04-27
42808,2012-06-12
42808,2012-06-15
42808,2012-07-30
42808,2012-08-07
42808,2012-09-04
42808,2013-09-28
42808,2013-09-30
42808,2013-10-05
42808,2013-10-07
42808,2013-10-25
42808,2013-11-04
42808,2013-11-28
42808,2013-12-02
42808,2014-02-01
42808,2014-06-03
42808,2014-06-28
42808,2014-07-18
42808,2014-07-31
42808,2015-06-25
42808,2015-08-02
42808,2016-04-07
42808,2016-04-15
42808,2016-05-09
42808,2016-05-19
42808,2016-06-15
42808,2016-06-20
42808,2016-08-21
42808,2016-08-24
42808,2016-08-27
42808,2016-08-31
42808,2016-10-02
42808,2017-05-25
42808,2017-06-02
42808,2017-08-06
42808,2017-08-18
42808,2017-08-24
42808,2017-08-31
42808,2018-04-26
42808,2018-05-24
42808,2018-05-27
42808,2018-08-23
42808,2018-08-30
42808,2018-09-02
42808,2018-09-27
53895,2011-03-21
53895,2011-10-30
53895,2012-08-19
53895,2013-03-03
53895,2013-05-31
53895,2013-06-18
53895,2017-05-28
145320,2017-05-30
145320,2017-07-15
145320,2017-07-20
145320,2017-07-31
145320,2017-08-22
145320,2017-09-02
145320,2017-09-09
145320,2017-09-13
145320,2017-09-24
145320,2017-10-09
145320,2017-10-15
145320,2017-11-10
145320,2017-11-13
145320,2017-11-19
145320,2017-11-24
145320,2017-12-04
145320,2017-12-16
145320,2018-01-31
145320,2018-02-08
145320,2018-02-12
145320,2018-02-26
145320,2018-03-17
145320,2018-03-20
145320,2018-04-04
145320,2018-04-21
145320,2018-05-08
145320,2018-05-12
145320,2018-05-19
145320,2018-05-22
145320,2018-05-25
145320,2018-05-26
145320,2018-05-28
145320,2018-05-31
145320,2018-06-07
145320,2018-06-10
145320,2018-06-18
145320,2018-07-09
145320,2018-07-13
145320,2018-07-15
145320,2018-08-20
145320,2018-08-28
145320,2018-09-04
145320,2018-09-09
145320,2018-09-16
145320,2018-09-20
145320,2018-09-29
145320,2018-10-09
145320,2018-10-14
145320,2018-10-22
145320,2018-10-27
145320,2018-10-29
145320,2018-11-01
145320,2018-11-05
145320,2018-11-17
155685,2011-08-23
155685,2012-01-03
155685,2012-01-25
155685,2012-04-12
155685,2012-04-25
155685,2012-05-22
155685,2012-07-10
155685,2012-08-04
155685,2013-01-03
155685,2013-02-16
155685,2015-01-05
155685,2015-04-19
155685,2015-05-02
155685,2015-05-11
155685,2015-06-09
155685,2015-06-24
155685,2015-06-30
155685,2015-07-03
155685,2015-08-23
155685,2015-09-07
155685,2015-10-24
155685,2015-12-01
164448,2011-07-30
164448,2011-08-16
164448,2011-08-24
164448,2011-09-11
164448,2011-09-26
164448,2011-10-01
164448,2011-10-24
164448,2011-10-27
164448,2012-03-30
164448,2012-08-03
164448,2012-08-27
164448,2012-09-03
164448,2012-09-07
164448,2012-09-19
164448,2012-09-22
164448,2012-10-05
164448,2012-10-07
164448,2012-11-25
164448,2012-12-02
164448,2012-12-17
164448,2013-01-04
164448,2013-05-15
164448,2013-05-24
164448,2013-06-06
164448,2013-06-11
164448,2013-06-16
164448,2013-06-19
164448,2013-06-24
164448,2013-06-30
164448,2013-07-03
164448,2013-07-06
164448,2013-07-19
164448,2013-07-30
164448,2013-08-14
164448,2013-08-26
164448,2013-08-30
164448,2013-09-02
164448,2013-09-04
164448,2013-09-06
164448,2013-10-05
164448,2013-10-14
164448,2013-11-04
164448,2013-11-11
164448,2013-12-02
164448,2014-05-24
164448,2014-06-04
164448,2014-06-08
164448,2014-06-16
164448,2014-08-28
164448,2014-08-31
164448,2014-09-09
164448,2014-09-11
164448,2014-09-16
164448,2014-10-02
164448,2014-10-07
164448,2014-11-26
164448,2014-12-09
164448,2015-03-23
164448,2015-04-20
164448,2015-05-04
164448,2015-05-26
164448,2015-05-29
164448,2015-06-03
164448,2015-06-11
164448,2015-06-13
164448,2015-06-15
164448,2015-06-19
164448,2015-06-25
164448,2015-07-09
164448,2015-07-11
164448,2015-07-13
164448,2015-07-17
164448,2015-07-19
164448,2015-07-21
164448,2015-07-23
164448,2015-08-08
164448,2015-08-15
164448,2015-08-18
164448,2015-08-20
164448,2015-08-26
164448,2015-08-29
164448,2015-09-01
164448,2015-09-03
164448,2015-09-06
164448,2015-09-08
164448,2015-09-11
164448,2015-09-14
164448,2015-09-18
164448,2015-10-02
164448,2015-10-07
164448,2015-10-15
164448,2015-10-21
164448,2015-10-26
164448,2015-11-03
164448,2015-11-23
164448,2015-12-01
164448,2015-12-07
164448,2015-12-17
164448,2016-01-03
164448,2016-01-18
164448,2016-01-27
164448,2016-02-09
164448,2016-02-11
164448,2016-02-13
164448,2016-02-16
164448,2016-02-23
164448,2016-02-29
164448,2016-03-10
164448,2016-03-13
164448,2016-04-02
164448,2016-04-04
164448,2016-04-07
164448,2016-04-11
164448,2016-04-16
164448,2016-04-30
164448,2016-05-02
164448,2016-05-20
164448,2016-05-22
164448,2016-05-25
164448,2016-06-02
164448,2016-06-05
164448,2016-06-10
164448,2016-06-16
164448,2016-06-19
164448,2016-06-23
164448,2016-06-26
164448,2016-06-29
164448,2016-07-01
164448,2016-07-03
164448,2016-07-08
164448,2016-07-26
164448,2016-07-30
164448,2016-07-31
164448,2016-08-03
164448,2016-08-05
164448,2016-08-09
164448,2016-08-11
164448,2016-08-15
164448,2016-08-19
164448,2016-08-20
164448,2016-08-30
164448,2016-09-03
164448,2016-09-05
164448,2016-09-16
164448,2016-09-19
164448,2016-09-22
164448,2016-09-26
164448,2016-09-28
164448,2016-10-01
164448,2016-10-05
164448,2016-10-11
164448,2016-10-15
164448,2016-10-18
164448,2016-10-22
164448,2016-11-19
164448,2016-11-27
164448,2016-12-02
164448,2016-12-06
164448,2016-12-09
164448,2016-12-17
164448,2017-01-10
164448,2017-01-16
164448,2017-01-20
164448,2017-01-30
164448,2017-02-02
164448,2017-02-05
164448,2017-02-07
164448,2017-02-10
164448,2017-02-14
164448,2017-02-18
164448,2017-03-12
164448,2017-03-22
164448,2017-03-26
164448,2017-03-29
164448,2017-03-31
164448,2017-04-02
164448,2017-04-09
164448,2017-04-24
164448,2017-04-30
164448,2017-05-06
164448,2017-05-09
164448,2017-05-21
164448,2017-05-24
164448,2017-05-27
164448,2017-05-30
164448,2017-06-05
164448,2017-06-11
164448,2017-06-16
164448,2017-06-19
164448,2017-06-26
164448,2017-07-03
164448,2017-07-17
164448,2017-07-22
164448,2017-07-25
164448,2017-08-04
164448,2017-08-06
164448,2017-08-08
164448,2017-08-15
164448,2017-08-18
164448,2017-08-20
164448,2017-08-23
164448,2017-08-27
164448,2017-08-30
164448,2017-09-04
164448,2017-09-08
164448,2017-09-11
164448,2017-09-15
164448,2017-09-22
164448,2017-09-25
164448,2017-09-29
164448,2017-10-03
164448,2017-10-14
164448,2017-10-18
164448,2017-10-28
164448,2017-10-31
164448,2017-11-12
164448,2017-11-27
164448,2017-12-06
164448,2017-12-10
164448,2018-02-12
164448,2018-02-17
164448,2018-02-21
164448,2018-03-16
164448,2018-04-07
164448,2018-04-12
164448,2018-04-30
164448,2018-05-04
164448,2018-05-08
164448,2018-05-14
164448,2018-05-18
164448,2018-05-23
164448,2018-05-27
164448,2018-05-31
164448,2018-06-10
164448,2018-06-13
164448,2018-06-25
164448,2018-06-29
164448,2018-07-06
164448,2018-07-13
164448,2018-07-16
164448,2018-07-20
164448,2018-08-14
164448,2018-08-24
164448,2018-08-28
164448,2018-08-31
164448,2018-09-03
164448,2018-09-20
164448,2018-09-29
164448,2018-10-07
164448,2018-10-17
164448,2018-10-21
164448,2018-10-24
170651,2011-08-14
170651,2011-09-02
170651,2011-09-29
170651,2011-12-14
170651,2012-03-17
170651,2012-04-12
170651,2012-05-21
170651,2012-07-10
170651,2012-07-18
170651,2012-08-04
170651,2013-05-13
170651,2013-05-27
170651,2013-08-16
170651,2014-12-27
170651,2015-04-21
170651,2015-04-24
170651,2015-08-04
170651,2015-08-15
170651,2015-08-25
170651,2016-06-12
170651,2016-07-23
170651,2017-06-26
170651,2017-07-03
170651,2017-07-23
170651,2017-09-03
170651,2018-09-22
189520,2011-09-28
189520,2011-10-08
189520,2011-10-22
189520,2011-10-27
189520,2012-01-01
189520,2012-04-09
189520,2012-07-01
189520,2012-08-01
189520,2012-08-22
189520,2012-09-05
189520,2012-09-06
189520,2013-04-18
189520,2013-05-13
189520,2013-06-22
189520,2013-09-07
189520,2013-09-17
189520,2014-06-01
189520,2014-06-19
189520,2017-05-25
201241,2012-03-14
201241,2012-08-25
201241,2012-08-26
201241,2012-08-29
201241,2012-09-02
201241,2012-09-05
201241,2012-09-08
201241,2012-12-08
201241,2012-12-20
201241,2012-12-31
201241,2013-01-07
201241,2013-01-12
201241,2013-02-04
201241,2013-02-16
201241,2013-02-26
201241,2013-08-14
201241,2013-08-15
201241,2013-08-17
201241,2013-08-24
201241,2013-08-28
201241,2013-09-04
201241,2014-06-09
201241,2015-04-13
201241,2015-07-16
201241,2015-07-23
201241,2015-08-23
201241,2015-09-24
201241,2015-12-22
201241,2016-03-01
201241,2016-03-04
201241,2016-03-31
201241,2016-04-09
201241,2016-04-14
201241,2016-04-19
201241,2016-04-25
201241,2016-04-29
201241,2016-05-15
201241,2016-05-22
201241,2016-05-24
201241,2016-05-27
201241,2016-05-30
201241,2016-06-01
201241,2016-06-05
201241,2016-06-12
201241,2016-06-20
201241,2016-06-25
201241,2016-07-07
201241,2016-07-10
201241,2016-07-11
201241,2016-07-15
201241,2016-07-16
201241,2016-07-18
201241,2016-07-31
201241,2016-08-03
