id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24528167,Lovely house in Stockholm,7770537,Tobba,,Hässelby-Vällingby,59.37666687260817,17.848329950259835,Entire home/apt,1198,3,4,2018-07-24,0.88,1,48
24541135,Huge apartment (98m²) for rent,136231173,Racha,,Enskede-Årsta-Vantörs,59.26461596149074,18.00849835964016,Entire home/apt,1504,1,21,2018-10-30,3.26,2,175
24556517,"One bedroom apartment, close to city & metro",61767217,Nadja,,Kungsholmens,59.33306392608047,18.016351069673917,Entire home/apt,648,5,24,2018-11-13,3.67,1,41
24562840,3 rum och kök med sjöutsikt nära stad och natur,39918118,Magnus,,Södermalms,59.30499283916003,18.10772815045474,Private room,504,7,0,,,1,0
24565973,Bright and Cosy Studio with Sunny Balcony,19421309,Karl Magnus,,Kungsholmens,59.33795741371658,18.025662628298036,Entire home/apt,747,21,1,2018-07-25,0.25,1,0
24566401,"Room in city centre Slussen, private bathroom",2913233,Anna,,Södermalms,59.31752870128057,18.072055506696987,Private room,1549,1,5,2018-09-07,0.86,2,365
24568435,Sunny Östermalm Studio,9658397,A,,Östermalms,59.33914113221169,18.094313723269792,Entire home/apt,955,1,16,2018-11-07,2.40,1,59
24570399,Beautiful apartment with sunny balcony,7973215,Geries,,Kungsholmens,59.336237254974094,18.02913414863017,Entire home/apt,945,6,0,,,1,0
24570946,Light Loft in south SOFO,10325907,Boel,,Södermalms,59.309920337662994,18.087953426493463,Entire home/apt,1504,5,8,2018-11-02,1.26,1,0
24571595,Åsen,41184308,Catarina,,Hägersten-Liljeholmens,59.29540301486394,17.9809257671818,Entire home/apt,801,1,7,2018-09-21,1.23,2,83
24575107,Beautiful two bedroom in SOFO on Södermalm,3661259,Barry,,Södermalms,59.312694546737184,18.07662030437728,Entire home/apt,1333,4,11,2018-11-02,2.21,1,8
24575181,Calm and cozy aparment in the South of Stockholm,58477116,Sebastian,,Hägersten-Liljeholmens,59.30008360008269,17.979271481083902,Entire home/apt,378,2,4,2018-09-16,0.85,1,0
24575313,Newly refurbished studio apt close to city centre!,4360794,Michaela,,Bromma,59.334651226061126,17.985091205715516,Entire home/apt,450,6,2,2018-08-18,0.47,1,0
24577063,Cosy apartment in Östermalm,144565676,Suzanne,,Östermalms,59.33425042720416,18.086682384085496,Entire home/apt,891,2,25,2018-11-18,3.75,1,2
24578030,Perfect studio apartment for a Stockholm Weekend,185711287,Elise,,Kungsholmens,59.334433532114204,18.02854072993366,Entire home/apt,675,2,2,2018-05-21,0.30,1,0
24578432,Views walkstreet Slussen near Oldtown/City own WC,2913233,Anna,,Södermalms,59.3188832297385,18.072149092350262,Private room,1099,1,10,2018-09-16,1.69,2,364
24591602,"3,5 room apartment in Vasastan",57908802,Viktor,,Norrmalms,59.34559857210611,18.053495340102966,Entire home/apt,648,14,2,2018-08-05,0.50,1,121
24591885,stor lägenhet nära till globen och Tele2 arena,35094339,Frida,,Farsta,59.25865723526,18.126384144591835,Entire home/apt,1171,1,1,2018-07-18,0.24,1,0
24592655,Perfect apartment in the heart of Stockholm- SoFo,69195809,Mahan,,Södermalms,59.31211681868269,18.06303575071471,Entire home/apt,1999,2,28,2018-11-11,5.28,1,231
24600971,Private bedroom 15 min from central Stockholm,139864066,Alexander,,Hägersten-Liljeholmens,59.29875919184468,17.982296020478923,Private room,297,2,18,2018-10-19,2.73,1,0
24601694,Radhus söder om tullarna,185908910,Victor,,Skarpnäcks,59.286847207014375,18.104149507508836,Entire home/apt,1351,30,3,2018-08-29,0.76,1,0
24611503,Comfortable living in friendly neighbourhood,86321658,Agneta,,Hägersten-Liljeholmens,59.28742163437114,17.968325112578047,Private room,486,1,3,2018-08-01,0.49,2,48
24614290,Room with private bathroom 10 min from Södermalm,30433890,Ulrika,,Skarpnäcks,59.27706567560925,18.133182875758667,Private room,396,2,10,2018-08-20,1.52,2,66
24619250,Apartment in the heart of Södermalm,71090364,Embla,,Södermalms,59.31835545489528,18.058120781424616,Entire home/apt,801,1,13,2018-08-26,2.03,1,0
24623688,"Beautiful, large house close to city centre",13220017,Kajsa,,Enskede-Årsta-Vantörs,59.277222628130176,18.060750554182608,Entire home/apt,1801,4,4,2018-08-06,0.59,1,148
24636490,A quiet place in the middle of the busy central,6037191,Thalia,,Södermalms,59.315568509019755,18.047737625657486,Entire home/apt,79998,1,3,2018-09-30,1.38,1,13
24641025,Kings Isle with a View,49719107,Johan,,Kungsholmens,59.32944147970357,18.035966793957304,Entire home/apt,1648,5,3,2018-07-11,0.54,1,167
24650660,Beautiful renovated 8 bed villa 10 min from city,165197398,Threst,,Enskede-Årsta-Vantörs,59.28138393154786,18.0610222033769,Entire home/apt,2296,4,2,2018-07-28,0.47,1,39
